Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
28 - 43 (Millennials),Stay,Travel_Frequently,1400 - 1499 ($),Human Resources,0-4 km,Master,Other,Very High,Male,80 - 89 ($),High,Entry Level,Human Resources,Medium,Married,2000 - 2999 ($),4000 - 5999 ($),0-1,Yes,11%,Excellent,Medium,1%,6-10 years,2,Better,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,1100 - 1199 ($),Research & Development,10-14 km,College,Medical,Low,Female,60 - 69 ($),Low,Junior Level,Healthcare Representative,Medium,Married,4000 - 4999 ($),14000 - 15999 ($),2-3,No,15%,Excellent,Low,0%,10-20 years,2,Bad,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Leave,Travel_Rarely,1300 - 1399 ($),Research & Development,0-4 km,Master,Life Sciences,Low,Male,30 - 39 ($),High,Entry Level,Research Scientist,High,Married,2000 - 2999 ($),10000 - 11999 ($),4-5,Yes,12%,Excellent,High,3%,10-20 years,2,Best,6-10 years,0-1 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Frequently,500 - 599 ($),Sales,25-29 km ,Bachelor,Marketing,High,Female,70 - 79 ($),High,Senior Level,Sales Executive,Medium,Married,13000 - 13999 ($),14000 - 15999 ($),2-3,No,14%,Excellent,Very High,1%,20+ years,2,Best,10++,2-5 years,2-5 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1100 - 1199 ($),Research & Development,0-4 km,Master,Medical,High,Female,90 - 100 ($),High,Entry Level,Research Scientist,High,Married,2000 - 2999 ($),12000 - 13999 ($),2-3,No,14%,Excellent,Medium,3%,10-20 years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Leave,Travel_Rarely,300 - 399 ($),Human Resources,5-9 km,Below College,Medical,Very High,Male,80 - 89 ($),Medium,Entry Level,Human Resources,Medium,Married,2000 - 2999 ($),14000 - 15999 ($),0-1,No,11%,Excellent,Very High,0%,0-5 years,3,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,1100 - 1199 ($),Sales,0-4 km,College,Medical,Medium,Male,50 - 59 ($),Low,Junior Level,Sales Executive,Very High,Married,7000 - 7999 ($),12000 - 13999 ($),2-3,Yes,22%,Outstanding,High,3%,6-10 years,2,Good,2-5 years,2-5 years,0-1 years,2-5 years
44 - 59 (Gen X),Leave,Travel_Rarely,700 - 799 ($),Research & Development,0-4 km,Bachelor,Medical,Very High,Male,70 - 79 ($),High,Executive Level,Manager,Low,Married,19000 - 19999 ($),20000 - 21999 ($),2-3,Yes,13%,Excellent,Very High,1%,20+ years,2,Better,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Frequently,600 - 699 ($),Research & Development,15-19 km,Below College,Medical,Medium,Female,70 - 79 ($),High,Entry Level,Laboratory Technician,Very High,Single,2000 - 2999 ($),6000 - 7999 ($),0-1,No,13%,Excellent,Low,0%,6-10 years,2,Better,6-10 years,0-1 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,0-4 km,College,Life Sciences,High,Female,30 - 39 ($),High,Mid Level,Research Director,Very High,Single,11000 - 11999 ($),18000 - 19999 ($),2-3,No,15%,Excellent,Very High,0%,6-10 years,6,Better,6-10 years,6-10 years,6-10 years,6-10 years
12 - 27 (Gen Z),Stay,Travel_Rarely,500 - 599 ($),Sales,0-4 km,Below College,Marketing,High,Male,80 - 89 ($),Medium,Junior Level,Sales Executive,Low,Married,4000 - 4999 ($),18000 - 19999 ($),0-1,No,12%,Excellent,Low,0%,20+ years,1,Best,2-5 years,2-5 years,0-1 years,2-5 years
12 - 27 (Gen Z),Leave,Travel_Rarely,100 - 199 ($),Research & Development,0-4 km,Bachelor,Technical Degree,Low,Male,80 - 89 ($),High,Entry Level,Laboratory Technician,Low,Single,2000 - 2999 ($),12000 - 13999 ($),0-1,No,19%,Excellent,Medium,0%,0-5 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
44 - 59 (Gen X),Stay,Travel_Rarely,500 - 599 ($),Sales,10-14 km,Bachelor,Medical,High,Female,70 - 79 ($),High,Junior Level,Sales Executive,High,Married,4000 - 4999 ($),24000 - 25999 ($),2-3,Yes,17%,Excellent,High,1%,10-20 years,4,Good,2-5 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,800 - 899 ($),Research & Development,20-24 km,Doctor,Life Sciences,Low,Female,40 - 49 ($),High,Senior Level,Research Director,Very High,Single,15000 - 15999 ($),14000 - 15999 ($),2-3,No,14%,Excellent,Medium,0%,10-20 years,2,Better,0-1 years,0-1 years,0-1 years,0-1 years
28 - 43 (Millennials),Stay,Travel_Rarely,600 - 699 ($),Research & Development,10-14 km,Bachelor,Medical,Very High,Female,40 - 49 ($),High,Junior Level,Healthcare Representative,Very High,Married,5000 - 5999 ($),16000 - 17999 ($),0-1,Yes,11%,Excellent,High,2%,6-10 years,2,Bad,6-10 years,6-10 years,6-10 years,2-5 years
28 - 43 (Millennials),Stay,Non-Travel,500 - 599 ($),Research & Development,5-9 km,Bachelor,Medical,Medium,Female,70 - 79 ($),Low,Junior Level,Research Scientist,Very High,Divorced,5000 - 5999 ($),14000 - 15999 ($),4-5,Yes,12%,Excellent,Very High,3%,10-20 years,3,Better,10++,10++,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,400 - 499 ($),Research & Development,0-4 km,Master,Technical Degree,Very High,Female,80 - 89 ($),Medium,Junior Level,Healthcare Representative,High,Single,4000 - 4999 ($),20000 - 21999 ($),0-1,No,11%,Excellent,Low,0%,10-20 years,4,Better,10++,6-10 years,10++,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,800 - 899 ($),Research & Development,5-9 km,College,Medical,Low,Male,80 - 89 ($),High,Executive Level,Research Director,Low,Married,19000 - 19999 ($),8000 - 9999 ($),2-3,No,11%,Excellent,High,1%,20+ years,4,Good,2-5 years,2-5 years,0-1 years,2-5 years
12 - 27 (Gen Z),Stay,Travel_Frequently,700 - 799 ($),Research & Development,0-4 km,Below College,Life Sciences,Very High,Male,70 - 79 ($),Very High,Junior Level,Manufacturing Director,High,Divorced,5000 - 5999 ($),4000 - 5999 ($),0-1,No,17%,Excellent,High,2%,6-10 years,6,Better,6-10 years,6-10 years,0-1 years,6-10 years
44 - 59 (Gen X),Stay,Travel_Rarely,1000 - 1099 ($),Research & Development,0-4 km,College,Medical,Low,Male,80 - 89 ($),Medium,Executive Level,Manager,High,Married,18000 - 18999 ($),12000 - 13999 ($),2-3,No,13%,Excellent,High,1%,20+ years,2,Best,0-1 years,0-1 years,0-1 years,0-1 years
12 - 27 (Gen Z),Stay,Travel_Rarely,600 - 699 ($),Research & Development,20-24 km,Bachelor,Medical,Medium,Male,80 - 89 ($),Very High,Entry Level,Research Scientist,Very High,Married,2000 - 2999 ($),20000 - 21999 ($),0-1,Yes,11%,Excellent,Medium,2%,6-10 years,3,Better,6-10 years,2-5 years,0-1 years,2-5 years
28 - 43 (Millennials),Stay,Travel_Rarely,300 - 399 ($),Research & Development,5-9 km,Bachelor,Life Sciences,Medium,Female,70 - 79 ($),High,Senior Level,Manufacturing Director,High,Single,13000 - 13999 ($),20000 - 21999 ($),4-5,No,15%,Excellent,High,0%,20+ years,3,Better,10++,6-10 years,2-5 years,10++
28 - 43 (Millennials),Stay,Non-Travel,200 - 299 ($),Sales,10-14 km,College,Life Sciences,Very High,Male,50 - 59 ($),High,Junior Level,Sales Executive,Very High,Single,6000 - 6999 ($),12000 - 13999 ($),4-5,No,14%,Excellent,Very High,0%,10-20 years,3,Better,10++,2-5 years,0-1 years,6-10 years
28 - 43 (Millennials),Stay,Travel_Rarely,500 - 599 ($),Sales,5-9 km,College,Technical Degree,High,Female,60 - 69 ($),Medium,Junior Level,Sales Executive,Medium,Married,5000 - 5999 ($),24000 - 25999 ($),0-1,Yes,11%,Excellent,Very High,0%,10-20 years,2,Better,10++,10++,10++,6-10 years
12 - 27 (Gen Z),Leave,Travel_Rarely,800 - 899 ($),Research & Development,0-4 km,Bachelor,Medical,Medium,Male,60 - 69 ($),High,Entry Level,Research Scientist,Very High,Married,2000 - 2999 ($),2000 - 3999 ($),2-3,Yes,16%,Excellent,Low,1%,6-10 years,2,Good,2-5 years,0-1 years,2-5 years,0-1 years
